Symbol,Last,Change,Vol,Bid,Ask,Open Int.,Strike,Symbol,Last,Change,Vol,Bid,Ask,Open Int.
quote,0,0,0,496.7,516.3,,1590,quote,1.65,-0.25,10,0.2,0.3,12
quote,0,0,0,501,504.2,,1595,,,,,,,
quote,494.58,5.08,7,486.7,506.3,9,1600,quote,0.3,-0.05,250,0.2,0.3,"14,314"
quote,0,0,0,477,497.4,,1610,quote,0.25,-0.5,148,0.1,0.2,446
quote,0,0,0,471.7,491.5,,1615,quote,0.4,-0.45,125,0.2,0.3,125
quote,0,0,0,467.1,487.4,,1620,quote,1.05,-0.3,149,0.2,0.3,352
quote,390.1,0,2,461.7,481.4,1,1625,,,,,,,
quote,0,0,0,456.8,476.8,,1630,quote,1.3,0.2,100,0.25,0.35,"2,401"
quote,0,0,0,453.6,473.2,,1635,quote,1.3,0,149,0.25,0.35,424
quote,0,0,0,455.7,458.6,,1640,quote,0.4,-0.9,15,0.25,0.35,"1,249"
quote,0,0,0,441.8,461.2,,1645,quote,0.35,-0.55,71,0.15,0.25,82
quote,350,-76.4,4,436.8,456.2,6,1650,quote,0.2,-0.03,"1,681",0.15,0.25,213
quote,0,0,0,432.1,451.8,,1655,quote,0.3,-0.25,3,0.25,0.35,"1,663"
quote,0,0,0,427.1,447,,1660,quote,0.5,-2.45,122,0.3,0.4,192
quote,0,0,0,423.1,441.5,,1665,quote,0.4,0,70,0.15,0.25,70
quote,0,0,0,417,436.5,,1670,quote,1.65,-1.2,12,0.3,0.4,36
quote,0,0,0,412.2,432,,1675,quote,0.55,-0.05,153,0.3,0.4,492
quote,0,0,0,415.7,418.6,,1680,quote,0.4,-2.25,3,0.2,0.3,157
quote,0,0,0,410.7,413.6,,1685,quote,0.5,-1.35,10,0.3,0.4,161
quote,0,0,0,398.4,418.8,,1690,quote,0.55,-1.1,1,0.35,0.45,193
quote,0,0,0,392.2,411.6,,1695,quote,0.15,-0.5,2,0.05,0.15,"1,379"
quote,394.83,21.58,7,386.9,406.1,5,1700,quote,0.2,0,40,0.15,0.2,31
quote,0,0,0,382.4,401.5,,1705,quote,0.3,-0.2,4,0.2,0.3,79
quote,335.88,-25.59,1,377,396.7,1,1710,quote,0.15,-0.2,12,0.05,0.3,"1,859"
,,,,,,,1715,quote,0.35,-0.1,1,0.2,0.3,372
quote,0,0,0,375.7,378.7,,1720,quote,0.15,-0.15,500,0.05,0.05,"1,015"
quote,0,0,0,362,381.5,,1725,quote,0.55,0.05,2,0.4,0.5,"4,297"
quote,0,0,0,357.1,376.8,,1730,quote,0.15,-0.15,3,0.1,0.15,"1,750"
quote,0,0,0,352.4,372,,1735,quote,0.2,-0.1,1,0.05,0.3,"1,469"
quote,0,0,0,347.4,367.1,,1740,quote,0.7,-0.2,39,0.45,0.55,314
quote,352.7,54.5,10,350.7,353.7,10,1745,quote,0.44,-0.06,1,0.3,0.35,207
quote,207.8,0,1,337.1,356.6,1,1750,quote,0.5,-0.1,19,0.45,0.55,"13,594"
quote,342.3,0,1,340.8,343.7,,1755,quote,0.4,-0.35,4,0.25,0.35,170
quote,337.6,1.6,1,329.6,348.7,3,1760,quote,0.95,0.2,"1,211",0.5,0.6,"1,270"
quote,0,0,0,322.5,341.7,,1765,quote,0.15,-0.05,2,0.05,0.3,648
quote,0,0,0,317.2,337,,1770,quote,0.23,-0.02,50,0.05,0.15,200
quote,0,0,0,312.2,331.9,,1775,quote,0.7,0,48,0.55,0.65,"1,241"
quote,0,0,0,307.6,327.2,,1780,quote,0.65,-0.25,223,0.6,0.7,262
,,,,,,,1785,quote,0.3,-0.25,1,0.05,0.3,967
quote,0,0,0,297.5,317,,1790,quote,0.7,-0.3,165,0.65,0.75,119
quote,0,0,0,292.5,312.7,,1795,quote,0.55,-0.2,10,0.4,0.45,411
quote,0,0,0,287.7,307.1,,1800,quote,0.75,-0.1,647,0.7,0.8,"26,759"
quote,0,0,0,282.2,302.7,,1805,quote,0.85,-0.25,120,0.7,0.85,356
quote,0,0,0,277.5,297.1,,1810,quote,0.78,-0.37,9,0.75,0.85,655
quote,0,0,0,272.5,292.1,,1815,quote,0.85,-0.25,33,0.8,0.9,"1,216"
quote,0,0,0,267.6,287.3,,1820,quote,0.85,-0.3,353,0.8,0.9,"6,943"
quote,275,27.3,6,271.2,273.8,"1,867",1825,quote,0.5,-0.45,"1,053",0.45,0.55,"11,696"
quote,0,0,0,257.6,277.7,,1830,quote,0.55,-0.3,3,0.5,0.6,344
quote,0,0,0,252.6,272.1,,1835,quote,0.55,-0.1,11,0.5,0.6,212
quote,0,0,0,247.6,267.8,,1840,quote,0.8,0.1,304,0.55,0.65,"5,227"
quote,174.16,9.4,9,250.9,253.8,6,1845,quote,1,-0.85,33,1,1.1,128
quote,188.7,-7.85,1,246.2,249.3,"8,514",1850,quote,1.05,-0.5,210,1.05,1.15,"19,213"
quote,0,0,0,236.1,249.8,,1855,quote,1.25,-0.05,14,1.1,1.2,"10,160"
quote,0,0,0,232,245.6,,1860,quote,0.8,-0.35,8,0.6,0.75,"1,316"
quote,0,0,0,226.1,239.8,,1865,,,,,,,
quote,0,0,0,221.2,234.9,,1870,quote,0,0,0,0.45,0.55,
quote,192.6,17.75,10,216.3,229.9,10,1875,quote,1.4,-0.2,21,1.3,1.45,"17,238"
quote,209.4,0,1,211.3,225,1,1880,quote,0.35,-0.14,8,0.05,0.4,"12,261"
quote,0,0,0,206.3,220,,1885,quote,1.85,-0.2,33,1.45,1.55,"5,042"
quote,0,0,0,203.6,215.2,,1890,quote,1.5,-0.63,153,1.5,1.65,"9,519"
quote,0,0,0,196.6,209.2,,1895,quote,0,0,0,0.55,0.65,
quote,164.6,-7.7,2,191.5,205.7,2,1900,quote,1.75,-0.4,"4,249",1.65,1.8,"28,597"
quote,169.63,19.63,5,186.6,199.6,5,1905,quote,2.1,0.05,4,1.75,1.9,597
quote,0,0,0,181.8,195.1,,1910,quote,1.95,-0.2,8,1.85,2,702
quote,0,0,0,176.8,190,,1915,quote,0,0,0,0.65,0.8,
quote,0,0,0,171.7,184.8,,1920,quote,2.1,-0.3,24,2.1,2.25,"1,727"
quote,131.2,-6.85,1,167.3,179.8,6,1925,quote,2.54,-0.06,108,2.2,2.4,"5,676"
quote,165.34,-0.71,1,162.7,175.9,5,1930,quote,1.35,-0.3,178,1.35,1.5,505
quote,0,0,0,156.6,169.6,,1935,quote,2.55,-0.35,"3,021",2.5,2.65,380
