Symbol,Last,Change,Vol,Bid,Ask,Open Int.,Strike,Symbol,Last,Change,Vol,Bid,Ask,Open Int.
,,,,,,,1875 ,quote,21.1,-2.1,6.00 ,21.40 ,21.90 ,733 
quote,206.58,34.58,1,212.10 ,213.60 ,94,1900 ,quote,20.4,-0.1,"2,462",20.20 ,21.10 ,"50,284"
quote,0,0,0,199.30 ,201.60 ,,1910 ,,,,,,,
quote,192.7,30.7,1,186.40 ,188.30 ,"13,194",1925 ,quote,28.1,0.4,"2,218",28.10 ,28.60 ,"2,788"
quote,179.35,36.77,1,182.10 ,184.00 ,2,1930 ,quote,26,-1.3,2,24.00 ,24.80 ,31
quote,0,0,0,177.90 ,179.70 ,,1935 ,quote,28.05,-9.75,1,24.60 ,25.50 ,15
quote,0,0,0,173.60 ,175.40 ,,1940 ,quote,25.5,-9.5,500,25.40 ,26.30 ,500
,,,,,,,1945 ,quote,27.65,-19.65,10.00 ,26.20 ,27.10 ,9 
,,,,,,,1950 ,quote,27.1,0.15,2266.00 ,26.90 ,27.70 ,28163 
quote,0,0,0,161.00 ,162.70 ,,1955 ,,,,,,,
,,,,,,,1960 ,quote,30.19,-3.71,2.00 ,28.60 ,29.50 ,4561 
quote,147.95,53.95,1,148.50 ,150.20 ,101,1970 ,,,,,,,
quote,163.8,33.8,2,149.50 ,150.80 ,300,1975 ,,,,,,,
,,,,,,,1985 ,quote,37.5,1.5,10.00 ,32.90 ,33.90 ,14435 
quote,0,0,0,131.80 ,133.50 ,,1990 ,quote,0,0,0,33.90 ,34.80 ,
,,,,,,,2000 ,quote,41.2,-1.7,437.00 ,41.80 ,42.50 ,2945 
quote,0,0,0,116.70 ,118.40 ,,2010 ,,,,,,,
quote,106.5,-3.6,1,109.10 ,110.80 ,1,2020 ,quote,45.2,-0.95,30,40.40 ,41.50 ,17
quote,107.54,16.34,2,110.90 ,112.10 ,230,2025 ,,,,,,,
,,,,,,,2030 ,quote,0,0,0.00 ,42.90 ,44.00 ,
quote,93.5,0,1,93.80 ,95.10 ,1,2040 ,quote,49.76,-12.34,30,45.50 ,46.70 ,
quote,0,0,0,90.70 ,92.00 ,,2045 ,quote,0,0,0,46.90 ,48.00 ,
quote,92.3,10.9,3,92.80 ,93.90 ,"2,483",2050 ,quote,48.5,1.3,721,48.10 ,49.40 ,"28,598"
quote,0,0,0,76.70 ,78.10 ,,2065 ,quote,0,0,0,53.10 ,54.30 ,
quote,77.45,6.4,2,79.20 ,80.20 ,13,2070 ,quote,0,0,0,54.50 ,55.60 ,
quote,74.61,1.53,1,72.20 ,73.10 ,13,2080 ,,,,,,,
,,,,,,,2085 ,quote,62.09,0,99.00 ,59.80 ,61.10 ,
quote,50.45,-7.95,4,66.30 ,67.20 ,59,2090 ,quote,70.7,0.3,11,67.90 ,68.80 ,34
quote,57.08,0,99,57.30 ,58.50 ,,2095 ,,,,,,,
quote,55.9,-1.6,"1,631",54.00 ,55.20 ,"30,290",2100 ,,,,,,,
,,,,,,,2105 ,quote,67.9,0,1.00 ,67.50 ,68.70 ,
quote,47.95,-3.15,1,48.40 ,49.60 ,70,2110 ,,,,,,,
quote,0,0,0,45.20 ,46.40 ,,2115 ,quote,0,0,0,71.80 ,73.30 ,
,,,,,,,2120 ,quote,82,0,1.00 ,73.70 ,75.20 ,1 
quote,38.7,-0.3,"2,000",39.80 ,41.00 ,"27,719",2125 ,quote,102,-14.75,2,76.20 ,77.70 ,"2,453"
,,,,,,,2135 ,quote,0,0,0.00 ,81.10 ,82.60 ,
,,,,,,,2140 ,quote,139,11.1,1.00 ,83.50 ,85.10 ,1 
,,,,,,,2145 ,quote,0,0,0.00 ,86.20 ,87.70 ,
quote,36,3.63,18,33.30 ,33.80 ,"1,095",2150 ,quote,132.48,14.38,2,94.70 ,96.00 ,7
quote,0,0,0,25.80 ,26.80 ,,2155 ,quote,0,0,0,91.70 ,93.30 ,
quote,24.9,0.75,1,23.50 ,24.50 ,930,2160 ,quote,0,0,0,94.70 ,96.30 ,
quote,0,0,0,21.70 ,22.70 ,,2165 ,,,,,,,
quote,21,-0.72,500,19.70 ,20.80 ,559,2170 ,,,,,,,
quote,23.1,-1.15,38,22.60 ,23.20 ,"2,252",2175 ,quote,114.8,-34.58,12,108.60 ,110.20 ,13
,,,,,,,2180 ,quote,0,0,0.00 ,107.00 ,109.00 ,
quote,0,0,0,14.40 ,15.30 ,,2185 ,,,,,,,
quote,15.3,0.7,44,13.00 ,13.90 ,166,2190 ,,,,,,,
quote,14.1,-1.1,40,14.30 ,14.90 ,"7,865",2200 ,quote,172,13.4,1,124.90 ,126.50 ,5
,,,,,,,2220 ,quote,0,0,0.00 ,135.90 ,138.80 ,
